"MOVIE_originalName";"MOVIE_genre";"MOVIE_duration";"WORK_name";"WORK_creator";"WORK_createDate";"WORK_url";"WORK_URI"
;;"Durata: 83";"WESTERN STARS";;;"False";"http://www.semanticweb.org/facilitiesEventsOntology/WESTERN%20STARS/_/_/_"
;"drammatico";"138 min";"MIDWAY";"Roland Emmerich";"2019";"https://it.wikipedia.org/wiki/Midway_(film_2019)";"http://www.semanticweb.org/facilitiesEventsOntology/MIDWAY/Roland%20Emmerich/2019/https%3A//it.wikipedia.org/wiki/Midway_%28film_2019%29"
;"drammatico";"138 min";"MIDWAY";"Roland Emmerich";"2019";"https://it.wikipedia.org/wiki/Midway_(film_2019)";"http://www.semanticweb.org/facilitiesEventsOntology/MIDWAY/Roland%20Emmerich/2019/https%3A//it.wikipedia.org/wiki/Midway_%28film_2019%29"
;"drammatico";"138 min";"MIDWAY";"Roland Emmerich";"2019";"https://it.wikipedia.org/wiki/Midway_(film_2019)";"http://www.semanticweb.org/facilitiesEventsOntology/MIDWAY/Roland%20Emmerich/2019/https%3A//it.wikipedia.org/wiki/Midway_%28film_2019%29"
;"drammatico";"138 min";"MIDWAY";"Roland Emmerich";"2019";"https://it.wikipedia.org/wiki/Midway_(film_2019)";"http://www.semanticweb.org/facilitiesEventsOntology/MIDWAY/Roland%20Emmerich/2019/https%3A//it.wikipedia.org/wiki/Midway_%28film_2019%29"
;"drammatico";"138 min";"MIDWAY";"Roland Emmerich";"2019";"https://it.wikipedia.org/wiki/Midway_(film_2019)";"http://www.semanticweb.org/facilitiesEventsOntology/MIDWAY/Roland%20Emmerich/2019/https%3A//it.wikipedia.org/wiki/Midway_%28film_2019%29"
;"drammatico";"138 min";"MIDWAY";"Roland Emmerich";"2019";"https://it.wikipedia.org/wiki/Midway_(film_2019)";"http://www.semanticweb.org/facilitiesEventsOntology/MIDWAY/Roland%20Emmerich/2019/https%3A//it.wikipedia.org/wiki/Midway_%28film_2019%29"
;"drammatico";"138 min";"MIDWAY";"Roland Emmerich";"2019";"https://it.wikipedia.org/wiki/Midway_(film_2019)";"http://www.semanticweb.org/facilitiesEventsOntology/MIDWAY/Roland%20Emmerich/2019/https%3A//it.wikipedia.org/wiki/Midway_%28film_2019%29"
;"drammatico";"138 min";"MIDWAY";"Roland Emmerich";"2019";"https://it.wikipedia.org/wiki/Midway_(film_2019)";"http://www.semanticweb.org/facilitiesEventsOntology/MIDWAY/Roland%20Emmerich/2019/https%3A//it.wikipedia.org/wiki/Midway_%28film_2019%29"
;"drammatico";"138 min";"MIDWAY";"Roland Emmerich";"2019";"https://it.wikipedia.org/wiki/Midway_(film_2019)";"http://www.semanticweb.org/facilitiesEventsOntology/MIDWAY/Roland%20Emmerich/2019/https%3A//it.wikipedia.org/wiki/Midway_%28film_2019%29"
